,date,time,bf_03,Anomaly
0,2018-03-06,00:00:00,8.004581604,0
1,2018-03-06,00:05:00,7.055569206,0
2,2018-03-06,00:10:00,10.15790639,0
3,2018-03-06,00:15:00,7.669649412,0
4,2018-03-06,00:20:00,7.718203476,0
5,2018-03-06,00:25:00,7.549343091,0
6,2018-03-06,00:30:00,7.684690068,0
7,2018-03-06,00:35:00,8.193832677,0
8,2018-03-06,00:40:00,7.885328886,0
9,2018-03-06,00:45:00,6.805631862,0
10,2018-03-06,00:50:00,7.114173507,0
11,2018-03-06,00:55:00,7.071657156,0
12,2018-03-06,01:00:00,6.677325729,0
13,2018-03-06,01:05:00,7.378785585,0
14,2018-03-06,01:10:00,7.233533478,0
15,2018-03-06,01:15:00,7.632546183,0
16,2018-03-06,01:20:00,7.785135657,0
17,2018-03-06,01:25:00,13.51690001,0
18,2018-03-06,01:30:00,9.641155131,0
19,2018-03-06,01:35:00,8.37866745,0
20,2018-03-06,01:40:00,9.323989083,0
21,2018-03-06,01:45:00,7.89710148,0
22,2018-03-06,01:50:00,7.62751791,0
23,2018-03-06,01:55:00,6.783152895,0
24,2018-03-06,02:00:00,7.990739658,0
25,2018-03-06,02:05:00,8.02990593,0
26,2018-03-06,02:10:00,7.206884262,0
27,2018-03-06,02:15:00,7.36834419,0
28,2018-03-06,02:20:00,7.306156377,0
29,2018-03-06,02:25:00,7.612534035,0
30,2018-03-06,02:30:00,7.238662695,0
31,2018-03-06,02:35:00,7.229590353,0
32,2018-03-06,02:40:00,6.935281812,0
33,2018-03-06,02:45:00,6.690896388,0
34,2018-03-06,02:50:00,6.992952381,0
35,2018-03-06,02:55:00,7.474991526,0
36,2018-03-06,03:00:00,8.850782538,0
37,2018-03-06,03:05:00,7.085858715,0
38,2018-03-06,03:10:00,6.462769257,0
39,2018-03-06,03:15:00,6.057182574,0
40,2018-03-06,03:20:00,6.789064428,0
41,2018-03-06,03:25:00,6.928751997,0
42,2018-03-06,03:30:00,6.638802975,0
43,2018-03-06,03:35:00,7.139308563,0
44,2018-03-06,03:40:00,6.460573725,0
45,2018-03-06,03:45:00,6.382108692,0
46,2018-03-06,03:50:00,6.684536916,0
47,2018-03-06,03:55:00,6.670865313,0
48,2018-03-06,04:00:00,7.121258514,0
49,2018-03-06,04:05:00,6.739866846,0
50,2018-03-06,04:10:00,7.174752525,0
51,2018-03-06,04:15:00,6.767840952,0
52,2018-03-06,04:20:00,8.009742366,0
53,2018-03-06,04:25:00,7.35219315,0
54,2018-03-06,04:30:00,9.940618125,0
55,2018-03-06,04:35:00,7.724304279,0
56,2018-03-06,04:40:00,8.439940458,0
57,2018-03-06,04:45:00,9.011687274,0
58,2018-03-06,04:50:00,9.885212487,0
59,2018-03-06,04:55:00,10.41073326,0
60,2018-03-06,05:00:00,9.875137014,0
61,2018-03-06,05:05:00,9.544375071,0
62,2018-03-06,05:10:00,10.47646042,0
63,2018-03-06,05:15:00,13.57091136,0
64,2018-03-06,05:20:00,12.12615036,0
65,2018-03-06,05:25:00,12.58332574,0
66,2018-03-06,05:30:00,13.81771944,0
67,2018-03-06,05:35:00,14.03139265,0
68,2018-03-06,05:40:00,12.77910662,0
69,2018-03-06,05:45:00,13.21230149,0
70,2018-03-06,05:50:00,15.05437177,0
71,2018-03-06,05:55:00,14.74391219,0
72,2018-03-06,06:00:00,14.34346103,0
73,2018-03-06,06:05:00,15.25311158,0
74,2018-03-06,06:10:00,14.79456084,0
75,2018-03-06,06:15:00,13.4213439,0
76,2018-03-06,06:20:00,14.53866149,0
77,2018-03-06,06:25:00,14.32057829,0
78,2018-03-06,06:30:00,14.08061547,0
79,2018-03-06,06:35:00,14.51604372,0
80,2018-03-06,06:40:00,21.01388471,0
81,2018-03-06,06:45:00,23.2370249,0
82,2018-03-06,06:50:00,14.45675174,0
83,2018-03-06,06:55:00,15.00926242,0
84,2018-03-06,07:00:00,13.95097183,0
85,2018-03-06,07:05:00,13.36468908,0
86,2018-03-06,07:10:00,13.45671215,0
87,2018-03-06,07:15:00,13.56221756,0
88,2018-03-06,07:20:00,17.37052554,0
89,2018-03-06,07:25:00,14.46733193,0
90,2018-03-06,07:30:00,14.15381249,0
91,2018-03-06,07:35:00,12.72879866,0
92,2018-03-06,07:40:00,13.73804308,0
93,2018-03-06,07:45:00,12.70696321,0
94,2018-03-06,07:50:00,12.38771519,0
95,2018-03-06,07:55:00,13.39938227,0
96,2018-03-06,08:00:00,13.2702118,0
97,2018-03-06,08:05:00,13.44590483,0
98,2018-03-06,08:10:00,12.80499876,0
99,2018-03-06,08:15:00,13.05015388,0
100,2018-03-06,08:20:00,11.7320776,0
101,2018-03-06,08:25:00,11.90709557,0
102,2018-03-06,08:30:00,13.58409086,0
103,2018-03-06,08:35:00,13.11025973,0
104,2018-03-06,08:40:00,11.33835815,0
105,2018-03-06,08:45:00,11.0610776,0
106,2018-03-06,08:50:00,13.8844245,0
107,2018-03-06,08:55:00,12.01796363,0
108,2018-03-06,09:00:00,11.63441428,0
109,2018-03-06,09:05:00,11.35261018,0
110,2018-03-06,09:10:00,13.57271573,0
111,2018-03-06,09:15:00,13.81910742,0
112,2018-03-06,09:20:00,10.3812513,0
113,2018-03-06,09:25:00,9.744931872,0
114,2018-03-06,09:30:00,11.46117545,0
115,2018-03-06,09:35:00,12.28992569,0
116,2018-03-06,09:40:00,12.43488128,0
117,2018-03-06,09:45:00,10.6706893,0
118,2018-03-06,09:50:00,9.972440721,0
119,2018-03-06,09:55:00,11.14166876,0
120,2018-03-06,10:00:00,10.92703028,0
121,2018-03-06,10:05:00,10.99292147,0
122,2018-03-06,10:10:00,10.00401727,0
123,2018-03-06,10:15:00,11.2570793,0
124,2018-03-06,10:20:00,10.49702776,0
125,2018-03-06,10:25:00,12.15499511,0
126,2018-03-06,10:30:00,10.877839,0
127,2018-03-06,10:35:00,11.59659814,0
128,2018-03-06,10:40:00,11.57581629,0
129,2018-03-06,10:45:00,11.54109155,0
130,2018-03-06,10:50:00,11.7628529,0
131,2018-03-06,10:55:00,12.31207659,0
132,2018-03-06,11:00:00,12.11767737,0
133,2018-03-06,11:05:00,10.64554162,0
134,2018-03-06,11:10:00,10.27334217,0
