time,bf_03,bf_04,bl_ce193
2018-03-06 08:55:00,12.01796363,1.67,NA
2018-03-06 09:00:00,11.63441428,2.123,NA
2018-03-06 09:05:00,11.35261018,2.371,NA
2018-03-06 09:10:00,13.57271573,2.371,NA
2018-03-06 09:15:00,13.81910742,2.371,NA
2018-03-06 09:20:00,10.3812513,2.123,NA
2018-03-06 09:25:00,9.744931872,NA,NA
2018-03-06 09:30:00,11.46117545,1.89,NA
2018-03-06 09:35:00,12.28992569,2.634,NA
2018-03-06 09:40:00,12.43488128,3.204,NA
2018-03-06 09:45:00,10.6706893,2.123,NA
2018-03-06 09:50:00,9.972440721,2.123,NA
2018-03-06 09:55:00,11.14166876,2.911,NA
2018-03-06 10:00:00,10.92703028,2.911,NA
2018-03-06 10:05:00,10.99292147,2.911,NA
2018-03-06 10:10:00,10.00401727,2.634,NA
2018-03-06 10:15:00,11.2570793,2.371,NA
2018-03-06 10:20:00,10.49702776,2.371,NA
2018-03-06 10:25:00,12.15499511,2.123,NA
2018-03-06 10:30:00,10.877839,2.123,NA
2018-03-06 10:35:00,11.59659814,2.371,NA
2018-03-06 10:40:00,11.57581629,2.634,NA
2018-03-06 10:45:00,11.54109155,2.911,NA
2018-03-06 10:50:00,11.7628529,2.634,NA
2018-03-06 10:55:00,12.31207659,2.634,NA
2018-03-06 11:00:00,12.11767737,4.891,NA
2018-03-06 11:05:00,10.64554162,NA,NA
2018-03-06 11:10:00,10.27334217,3.204,NA
2018-03-06 11:15:00,10.70608279,2.911,NA
2018-03-06 11:20:00,11.15502492,2.371,NA
2018-03-06 11:25:00,10.01711475,2.371,NA
2018-03-06 11:30:00,11.84378476,2.371,NA
2018-03-06 11:35:00,10.45198781,2.371,NA
2018-03-06 11:40:00,12.32285236,2.371,NA
2018-03-06 11:45:00,12.59032873,2.371,NA
2018-03-06 11:50:00,11.72807139,2.371,NA
2018-03-06 11:55:00,14.73902271,2.371,NA
2018-03-06 12:00:00,11.95267179,3.511,NA
2018-03-06 12:05:00,11.92322768,3.511,NA
2018-03-06 12:10:00,12.10482594,NA,NA
2018-03-06 12:15:00,11.98430511,2.911,NA
2018-03-06 12:20:00,13.36856911,2.634,NA
2018-03-06 12:25:00,12.88622083,2.911,NA
2018-03-06 12:30:00,11.90368871,3.204,NA
2018-03-06 12:35:00,11.17952276,2.634,NA
